value,rentm,bdrms,non_bdrms,condition,coopcond,elevator,agperswt,borough,sub_borough,income,race,income_tile,owned,year
9999999,1200,1,0,2,1,1,15686945,3,3,1,4,3,0,2011
5162488,99999,3,3,2,3,1,49043484,3,6,1,1,3,1,2011
475000,99999,3,1,2,2,1,49055020,3,1,1,4,3,1,2011
9999999,2600,2,1,2,1,1,45085148,3,6,1,1,3,0,2011
9999999,2700,2,1,2,1,1,51136416,3,4,1,1,3,0,2011
9999999,2000,2,1,2,1,2,17340440,3,4,1,4,3,0,2011
9999999,3000,2,2,2,2,1,21861640,3,4,1,1,3,0,2011
9999999,2250,2,0,2,1,2,18767582,3,1,0,4,1,0,2011
2100000,99999,3,1,2,3,1,34605060,3,6,1,1,3,1,2011
9999999,591,1,0,2,1,1,18141284,3,9,1,2,3,0,2011
9999999,269,3,1,3,1,2,500619,3,2,0,3,1,0,2011
9999999,935,2,1,2,1,1,18938192,3,5,0,1,1,0,2011
9999999,1750,2,0,2,3,1,15654726,3,4,0,2,1,0,2011
900000,99999,3,1,2,3,1,20025740,3,5,0,2,1,1,2011
270000,99999,1,0,2,3,1,18722512,3,4,0,1,1,1,2011
9999999,1500,2,1,2,1,1,16518587,3,10,0,1,1,0,2011
9999999,302,4,1,2,1,2,625769,3,10,0,3,1,0,2011
9999999,1675,2,0,3,1,2,60871208,3,2,0,1,1,0,2011
1000000,99999,3,1,2,3,1,24527510,3,1,1,1,3,1,2011
9999999,302,3,1,3,1,1,1788949,3,8,0,2,1,0,2011
9999999,1750,1,0,2,1,2,16552704,3,6,0,1,1,0,2011
2000000,99999,2,0,2,3,1,49055020,3,1,1,1,3,1,2011
9999999,2300,2,1,2,1,1,37651496,3,1,0,1,1,0,2011
9999999,855,3,0,2,1,1,46935284,3,7,1,2,3,0,2011
9999999,800,2,1,2,1,1,19340500,3,3,1,1,3,0,2011
800000,99999,4,2,2,3,1,26173832,3,10,0,1,1,1,2011
9999999,1300,3,2,2,1,1,92847456,3,7,1,2,3,0,2011
1000000,99999,3,1,2,3,1,29508780,3,6,0,1,1,1,2011
9999999,985,3,1,2,1,1,28312878,3,5,1,2,3,0,2011
9999999,500,3,1,1,1,1,1388742,3,8,1,2,3,0,2011
1300000,99999,2,1,2,3,1,20209968,3,1,0,1,1,1,2011
400000,99999,3,1,2,3,1,28501140,3,6,1,1,3,1,2011
9999999,1950,1,0,2,1,2,18825748,3,1,0,1,1,0,2011
615000,99999,2,1,2,2,1,34871672,3,4,0,1,1,1,2011
9999999,613,3,1,2,1,1,517277,3,9,0,2,1,0,2011
9999999,1300,3,1,2,1,2,69780928,3,9,0,3,1,0,2011
9999999,1200,4,1,2,1,1,60105672,3,2,0,3,1,0,2011
9999999,356,5,1,3,1,2,16309136,3,10,0,3,1,0,2011
9999999,4500,3,0,2,1,1,18767582,3,1,0,4,1,0,2011
9999999,2695,2,1,2,1,1,21201052,3,6,0,1,1,0,2011
9999999,3800,3,2,2,1,1,37153196,3,3,1,1,3,0,2011
9999999,1800,2,1,2,1,1,15654726,3,1,0,4,1,0,2011
9999999,2750,2,2,2,1,1,33105408,3,6,0,1,1,0,2011
9999999,697,2,1,2,1,1,29265136,3,5,0,4,1,0,2011
9999999,1075,2,0,2,1,1,16518587,3,10,0,1,1,0,2011
1000000,99999,3,0,2,2,1,96718432,3,6,1,3,3,1,2011
9999999,1510,1,0,2,1,2,18736204,3,2,0,1,1,0,2011
9999999,1200,5,0,2,1,2,121369792,3,2,1,4,3,0,2011
